OEMNumber,ProductType,ReferenceNumber,Xerox - SourceWell Eligible Customers,Xerox - SIP Program for Authorized DTP Partners,Xerox - 2024A4GrowthPricing,Xerox - Multiple Dealers / NASPO Eligible Dealers Only,Xerox - Allied Business Solutions / Church of Jesus Christ Of Latter Day Saints - A3,Xerox - Allied Business Solutions / Church of Jesus Christ Of Latter Day Saints - A4,Xerox - Allied Business Solutions / Church of Jesus Christ Of Latter Day Saints - LP,Xerox - SIP Lexmark Program,Xerox - Lexmark CX963/XSE Demo Offering for All AOM Authorized Partners,Xerox - AOM HW Level 7 IR,Xerox - AOM Light Production HW - Level 7
"304S00216","Accessories","1331942","314.00","","","255.57","","","","","","369.83",""
"304S00217","Accessories","1331943","559.28","","","514.27","","","","","","652.59",""
"304S00220","Accessories","1331944","559.28","","","514.27","","","","","","652.59",""
"304S00221","Accessories","1331945","314.00","","","255.57","","","","","","369.83",""
"304S00238","Solutions","1337768","68.09","","","63.01","","","","","","68.49",""
"304S00239","Solutions","1337767","323.94","","","249.89","","","","","","378.59",""
"304S00252","Solutions","1337615","93.62","","","52.63","105.36","","","","","105.37",""
"304S00253","Solutions","1337614","432.98","","","152.51","605.90","","","","","666.49",""
"304S00255","Solutions","1337613","1,170.21","","","421.05","1,422.55","","","","","1,564.81",""
"304S00273","Solutions","1337610","531.91","","","368.42","405.69","","","","","869.34",""
"304S00274","Solutions","1337611","797.87","","","495.72","1,389.72","","","","","1,528.69",""
"304S00276","Solutions","1337612","1,377.34","","","526.32","2,002.11","","","","","2,202.32",""
"304S00282","Solutions","1342602","","","","","","","","","","","98.19"
"304S00283","Solutions","1342604","","","","","","","","","","","1,202.84"
"304S00284","Solutions","1342606","","","","","","","","","","","1,644.71"
"304S00285","Solutions","1342603","56.99","","","26.32","","","97.67","","","","98.19"
"304S00286","Solutions","1342605","1,267.36","","","1,577.89","","","1,266.15","","","","1,202.84"
"304S00287","Solutions","1342615","1,752.33","","","2,104.21","","","1,731.27","","","","1,644.71"
"304S00291","Accessories","1342616","489.36","","","430.67","","","","","","621.60",""
"304S00293","Accessories","1342617","202.13","","","180.45","","","","","","228.05",""
"304S00294","Solutions","1351317","25.91","","","26.32","","","","","","","49.10"
"304S00295","Solutions","1351318","77.72","","","83.16","","","","","","","78.55"
"304S00296","Solutions","1351319","3,471.50","","","631.33","","","","","","","3,785.27"
"304S00297","Solutions","1351320","7,253.89","","","9,530.53","","","","","","","8,891.21"
"304S00303","Solutions","1351321","585.49","","","","","","","","","","589.15"
"304S00304","Solutions","1351322","1,364.77","","","","","","","","","","1,355.04"
"304S00313","Accessories","1361204","","","","221.05","","","","","","215.76",""
"304S00314","Accessories","1361206","","","","110.37","","","","","","108.24",""
"304S00315","Accessories","1361208","","","","295.33","","","","","","296.69",""
"304S00316","Solutions","1361404","","","","","","","","","","153.32","150.39"
"304S00319","Solutions","1361406","","","","156.84","","","","","","153.32","150.39"
"320S00290","Accessories","917715","192.82","","","153.62","","","","","","255.80",""
"320S00665","Accessories","917718","314.00","","","","","","","","","369.83",""
"320S01058","Solutions","973250","392.24","","","388.12","","","","","","",""
"320S01426","Accessories","1361210","","","","987.75","","","","","","960.59",""
"321K12890","Accessories","1323595","","","","","","","","","","69.53",""
"497K02520","Accessories","1323598","267.00","","","","","","","","","",""
"497K05270","Accessories","1323601","","","","","","","","","","1.07",""
"497K06860","Accessories","1348976","","","","502.93","","","","","","504.51",""
"497K09130","Accessories","1323607","546.40","","","610.58","","","","","","584.04",""
"497K10920","Accessories","1323608","","","","","","","","","","1.07",""
"497K13630","Accessories","917882","","","","","","138.17","","","","",""
"497K13660","Accessories","917878","","","","","","150.92","","","","",""
"497K14310","Accessories","1348977","","","","110.07","","","","","","111.24",""
"497K14870","Accessories","1348978","","","","213.09","","","","","","221.75",""
"497K16620","Accessories","1299841","200.03","","","172.38","","","","","","215.91",""
"497K16710","Accessories","1323611","166.91","","","407.57","435.19","","","","","423.06",""
"497K16920","Accessories","1331627","","","","","","","","","","302.02",""
"497K17190","Accessories","1348788","","","","184.16","","","","","","176.27",""
"497K17720","Accessories","1323613","235.47","","","172.78","","","","","","243.46",""
"497K17740","Accessories","1331628","","","","314.81","","","","","","325.44",""
"497K17750","Accessories","1323614","470.51","","","344.86","","","","","","406.45",""
"497K17760","Accessories","1331946","984.56","","","722.45","","","","","","1,016.36",""
"497K17800","Accessories","1323615","79.02","","","69.99","","","","","","81.35",""
"497K17880","Accessories","1082423","217.22","","","194.18","","","","","","262.60",""
"497K18121","Accessories","1187709","199.66","","","175.02","","","","","","222.89",""
"497K18170","Accessories","1323616","","","","","","","","","","243.27",""
"497K18360","Accessories","979703","150.80","","","","","","","","","",""
"497K19162","Accessories","1348979","","","","465.17","","","","","","527.44",""
"497K19230","Accessories","1342653","2,673.95","","","2,017.91","","","","","","2,895.89",""
"497K19250","Accessories","1342654","7,491.73","","","6,851.80","7,365.06","","","","","7,403.41",""
"497K19350","Accessories","1349020","","","","301.34","","","","","","302.71",""
"497K19370","Accessories","1323435","2,494.50","","","2,329.45","","","","","","",""
"497K19380","Accessories","1349021","","","","1,630.60","","","","","","1,801.07",""
"497K19580","Accessories","1331630","95.95","","","","","","","","","",""
"497K19590","Accessories","1331631","95.95","","","","","","","","","",""
"497K19700","Accessories","1331632","187.68","","","","","","","","","",""
"497K19870","Accessories","1323620","851.69","","","895.41","","","","","","853.20",""
"497K19880","Accessories","1323621","330.73","","","346.95","324.73","","","","","331.20",""
"497K20070","Accessories","1362520","","","","","","","","","","403.37",""
"497K20120","Accessories","1342655","15,304.91","","","14,840.35","14,339.85","","","","","14,413.98",""
"497K20250","Accessories","1323623","79.17","","","","","","","","","",""
"497K20410","Accessories","1323626","250.53","","","205.79","","","","","","237.26",""
"497K20450","Accessories","1348789","712.59","","","585.18","","","","","","705.09",""
"497K20480","Accessories","1323630","106.03","","","110.06","","","","","","105.75",""
"497K20510","Accessories","1348790","1,750.35","","","1,732.03","","","","","","1,649.44",""
"497K20590","Accessories","1323633","585.81","","","613.59","","","","","","598.15",""
"497K20600","Accessories","1323634","183.68","","","159.78","135.67","","","","","180.03",""
"497K20630","Accessories","1323635","324.30","","","343.66","","","","","","",""
"497K21000","Accessories","1082427","2,281.38","","","","","","","","","",""
"497K21490","Accessories","1349022","","","","242.81","","","","","","302.71",""
"497K21650","Accessories","1323640","101.74","","","42.91","","","","","","104.11",""
"497K21730","Accessories","1323439","2,958.60","","","","","","","","","",""
"497K21760","Accessories","1365925","8,450.09","","","","","","","","","",""
"497K21770","Accessories","1342656","3,935.82","","","4,118.40","5,659.28","","","","","5,552.41",""
"497K21780","Accessories","1342657","5,489.72","","","5,119.16","7,344.16","","","","","7,383.11",""
"497K21920","Accessories","1323644","335.20","","","","","","","","","",""
"497K22200","Accessories","1331633","231.39","","","198.45","","","","","","",""
"497K22240","Accessories","1348865","1,778.85","","","1,963.77","","","","","","1,992.24",""
"497K22250","Accessories","1348866","4,717.40","","","3,668.41","","","","","","5,425.77",""
"497K22260","Accessories","1345363","6,794.72","","","5,117.19","","","","","","7,256.47",""
"497K22270","Accessories","1348867","8,315.61","","","8,228.07","","","","","","7,831.99",""
"497K22280","Accessories","1348868","7,963.68","","","7,655.31","","","","","","",""
"497K22290","Accessories","1348869","498.16","","","488.05","","","","","","492.93",""
"497K22310","Accessories","1348870","290.69","","","285.18","","","","","","287.80",""
"497K22320","Accessories","1348871","2,509.94","","","3,613.92","","","","","","3,609.82",""
"497K22360","Accessories","1348873","331.76","","","278.79","","","","","","329.09",""
"497K22370","Accessories","1348874","1,316.74","","","1,320.27","","","","","","1,406.21",""
"497K22380","Accessories","1331635","222.59","","","198.45","","","","","","218.91",""
"497K22450","Accessories","1342643","","","","242.14","","","","","","231.45",""
"497K22460","Accessories","1323645","167.54","","","175.05","","","","","","171.96",""
"497K22500","Accessories","1348980","","","","","","","","","","1,704.55",""
"497K22510","Accessories","1331978","1,071.05","","","1,169.04","","","","","","1,186.60",""
"497K22520","Accessories","1331979","2,203.37","","","1,728.68","","","","","","2,318.67",""
"497K22560","Accessories","1331980","1,929.99","","","1,811.97","","","","","","1,895.93",""
"497K22670","Accessories","1323440","442.14","","","309.86","286.46","","","","","430.26",""
"497K22680","Accessories","1323647","1,027.83","","","718.80","","","","","","1,039.55",""
"497K22720","Accessories","1348981","","","","1,840.71","","","","","","1,843.70",""
"497K22930","Accessories","1349023","","","","6,851.80","","","","","","7,556.85",""
"497K22940","Accessories","1349024","","","","14,840.35","","","","","","15,160.82",""
"497K22950","Accessories","1349025","","","","","","","","","","1,607.62",""
"497K22970","Accessories","1349026","","","","5,667.35","","","","","","5,674.37",""
"497K22990","Accessories","1349027","","","","9,156.84","","","","","","9,167.54",""
"497K23000","Accessories","1349028","","","","11,845.06","","","","","","11,858.60",""
"497K23010","Accessories","1349029","","","","5,851.58","","","","","","5,858.80",""
"497K23020","Accessories","1349030","","","","6,456.28","","","","","","6,464.14",""
"497K23030","Accessories","1349031","","","","3,928.04","","","","","","3,933.23",""
"497K23060","Accessories","1349032","","","","5,617.66","","","","","","5,624.64",""
"497K23140","Accessories","1331981","630.94","","","698.98","","","","","","641.15",""
"497K23170","Accessories","1349033","","","","","","","","","","2,962.89",""
"497K23230","Accessories","1349034","","","","7,908.32","","","","","","",""
"497K23470","Accessories","1323648","42.53","","","41.47","","","","","","44.74",""
"497K23610","Accessories","1331948","315.30","","","318.33","","","","","","327.44",""
"497K23750","Accessories","1349035","","","","2,037.40","","","","","","2,181.60",""
"497K23760","Accessories","1331982","258.56","","","188.16","","","","","","256.12",""
"497K24120","Accessories","1349036","","","","1,137.57","","","","","","1,139.82",""
"497K24130","Accessories","1349037","","","","4,071.01","","","","","","4,402.79",""
"497K24140","Accessories","1349038","","","","6,066.24","","","","","","7,101.44",""
"497K24160","Accessories","1349039","","","","9,150.32","","","","","","9,161.01",""
"497K24170","Accessories","1349040","","","","15,529.83","","","","","","15,547.25",""
"497K24200","Accessories","1342658","9,708.41","","","10,009.61","","","","","","10,021.21",""
"497K24210","Accessories","1349041","","","","5,060.57","","","","","","6,309.07",""
"497K24220","Accessories","1349042","","","","8,358.79","","","","","","8,368.65",""
"497K24230","Accessories","1349043","","","","14,688.62","","","","","","14,705.15",""
"497K24350","Accessories","1348791","4,402.33","","","4,685.22","","","","","","5,565.42",""
"497K24370","Accessories","1323651","123.69","","","","","","","","","126.21",""
"497K24460","Accessories","1299842","34.57","","","31.43","","","","","","",""
"497K24470","Accessories","1309132","","","","23.57","","","","","","",""
"497K24520","Accessories","1323652","260.99","","","208.98","","","","","","273.23",""
"497K24570","Accessories","1349044","","","","9,695.97","","","","","","9,998.77",""
"497K24900","Accessories","1348875","6,992.43","","","7,184.33","","","","","","6,838.62",""
"497K25190","Accessories","1337774","139.31","","","103.25","","","","","","139.04",""
"497K25200","Accessories","1364240","","","","","","","","","","382.19",""
"497K25310","Accessories","1337775","335.20","","","318.69","","","","","","",""
"497K25620","Accessories","1346475","","","","378.23","","","","","","","372.42"
"497K25630","Accessories","1342644","565.36","","","496.60","","","","","","572.11",""
"497K25640","Accessories","1342645","1,572.04","","","1,486.73","","","","","","1,743.91",""
"497K25650","Accessories","1342647","2,561.70","","","2,252.88","","","","","","3,050.58",""
"497K25660","Accessories","1342648","2,672.36","","","3,632.98","3,439.43","","","","","3,458.65",""
"497K25670","Accessories","1342649","4,765.82","","","","","","","","","5,694.78",""
"497K25680","Accessories","1342650","1,988.67","","","1,958.66","","","","","","1,921.64",""
"497K25900","Accessories","1350788","","","","","","","","","","","5,757.83"
"497K25910","Accessories","1350789","","","","","","","","","","","14,963.86"
"497K25940","Accessories","1361212","","","","403.32","","","","","","407.46",""
"497K25950","Accessories","1348455","5,094.54","","","5,203.33","","","","","","6,024.37","5,909.18"
"497K26020","Accessories","1350790","","","","","","","","","","","13,509.01"
"497K26230","Accessories","1364241","1.05","","","1.04","","","","","","",""
"497K26240","Accessories","1362072","432.19","","","300.02","","","","","","382.19",""
"497K26250","Accessories","1362073","329.79","","","313.34","","","","","","357.87",""
"497K26260","Accessories","1362074","157.01","","","155.36","","","","","","156.58",""
"497K26270","Accessories","1362075","200.74","","","198.63","","","","","","199.97",""
"497K26280","Accessories","1362076","45.20","","","44.73","","","","","","45.83",""
"497K26290","Accessories","1362077","196.16","","","171.56","","","","","","199.47",""
"497K26310","Accessories","1362078","171.65","","","150.12","","","","","","174.54",""
"497K26320","Accessories","1362079","196.16","","","171.56","","","","","","199.47",""
"497K26330","Accessories","1362080","196.16","","","171.56","","","","","","199.47",""
"497K26520","Accessories","1361214","","","","1,649.15","","","","","","1,603.11",""
"497K26530","Accessories","1361216","","","","1,649.15","","","","","","1,603.11",""
"497K26540","Accessories","1361218","","","","1,649.15","","","","","","1,603.11",""
"497K26550","Accessories","1361220","","","","5,286.87","","","","","","5,137.04",""
"497K26560","Accessories","1361222","","","","11,904.21","","","","","","11,565.55",""
"497K26570","Accessories","1361224","","","","1,952.63","","","","","","1,897.93",""
"497K26580","Accessories","1361226","","","","13,860.08","","","","","","15,119.75",""
"497K26590","Accessories","1361228","","","","6,520.23","","","","","","7,112.81",""
"497K26600","Accessories","1361229","","","","11,260.11","","","","","","11,273.02",""
"497K26610","Accessories","1361231","","","","15,663.73","","","","","","15,681.29",""
"497K26620","Accessories","1361233","","","","9,224.88","","","","","","9,235.66",""
"497K26630","Accessories","1361235","","","","7,250.54","","","","","","7,044.67",""
"497K26640","Accessories","1361237","","","","6,067.34","","","","","","6,963.98",""
"497K26650","Accessories","1361239","","","","4,072.11","","","","","","4,345.09",""
"497K26660","Accessories","1361241","","","","1,298.01","","","","","","1,261.99",""
"497K26670","Accessories","1361243","","","","729.23","","","","","","752.00",""
"497K26680","Accessories","1361245","","","","6,515.61","","","","","","6,523.53",""
"497K26690","Accessories","1361247","","","","3,987.38","","","","","","3,874.63",""
"497K26700","Accessories","1361249","","","","5,910.91","","","","","","5,743.27",""
"497K26710","Accessories","1361251","","","","7,936.78","","","","","","7,711.33",""
"497K26720","Accessories","1361253","","","","277.83","","","","","","279.18",""
"497K27000","Accessories","1361255","","","","5,726.67","","","","","","5,733.76",""
"497K27010","Accessories","1361257","","","","","","","","","","529.35",""
"497K27020","Accessories","1361259","","","","","","","","","","6,180.24",""
"497K27030","Accessories","1361261","","","","","","","","","","5,684.04",""
"497K27040","Accessories","1361263","","","","","","","","","","6,451.61",""
"497K27050","Accessories","1361265","","","","","","","","","","8,428.04",""
"497K27060","Accessories","1361267","","","","","","","","","","14,823.94",""
"497K27070","Accessories","1361269","","","","","","","","","","5,928.09",""
"497K27080","Accessories","1361271","","","","","","","","","","2,096.39",""
"497K27090","Accessories","1361273","","","","","","","","","","1,849.75",""
"497K27100","Accessories","1361275","","","","","","","","","","1,849.75",""
"497N01224","Accessories","1331951","450.38","","","394.72","","","","","","447.98",""
"497N02107","Accessories","1323653","10,360.54","","","","","","","","","",""
"497N02659","Accessories","1348792","2,189.36","","","1,858.24","","","","","","2,168.97",""
"497N02727","Accessories","1323654","709.64","","","693.02","","","","","","745.48",""
"497N04238","Accessories","1323655","1,822.94","","","1,334.51","","","","","","1,715.24",""
"497N04827","Accessories","1348984","","","","","","","","","","843.33",""
"497N04849","Accessories","1323656","2,853.37","","","2,850.81","2,782.77","","","","","2,820.35",""
"497N05469","Accessories","1323657","657.36","","","577.63","","","","","","738.09",""
"497N06007","Accessories","1323658","2,069.97","","","1,779.91","","","","","","1,950.34",""
"497N06009","Accessories","1348793","1,730.91","","","1,600.77","","","","","","1,631.04",""
"497N06629","Accessories","1348985","","","","1,854.68","","","","","","2,312.26",""
"497N07165","Accessories","1323659","","","","1,069.05","","","","","","1,057.63",""
"497N07166","Accessories","1323660","1,948.64","","","1,819.39","","","","","","1,926.41",""
"497N07254","Accessories","1348986","","","","3,268.17","","","","","","4,074.46",""
"497N07276","Accessories","1348794","","","","1,420.43","","","","","","1,621.43",""
"497N07968","Accessories","1241309","","","","169.93","","","","","","",""
"497N07994","Accessories","1332999","","","","195.59","","","","","","",""
"497N07995","Accessories","1251456","","","","203.47","","143.87","","","","",""
"497N08408","Accessories","1348987","","","","1,054.22","","","","","","1,058.34",""
"497N08801","Accessories","1348988","2,991.79","","","2,500.15","","","","","","3,116.97",""
"497N09079","Accessories","1342646","2,326.95","","","1,944.56","","","","","","2,304.89",""
"497N09137","Accessories","1361277","","","","","","","","","","1,182.27",""
"497N09202","Accessories","1342618","497.10","","","488.05","","","","","","492.93",""
"497N09215","Accessories","1348795","3,324.01","","","","","","","","","3,292.59",""
"497N09247","Accessories","1342620","1,133.48","","","1,217.39","","","","","","1,184.15",""
"497N09248","Accessories","1342621","3,534.53","","","3,192.12","","","","","","3,624.38",""
"497N09504","Accessories","1361279","","","","3,177.67","","","","","","3,276.91",""
"498K14141","Accessories","1323662","130.35","","","122.41","","","","","","142.78",""
"498K17820","Accessories","1348796","","","","1.06","","","","","","1.07",""
"675K47673","OEM Color Laser Maintenance","916597","","62.72","","","","","","","","",""
"ADAPCMYKANALYST","Service Plan","1348989","","","","","","","","","","596.42",""
"B225/DNI","Mono Laser","1264006","","","","262.03","","218.35","","","","",""
"B230/DNI","Mono Laser","1241310","","","","","","145.29","","","","",""
"B235/DNI","Mono Laser","1244527","","","","","","228.69","","","","",""
"B305/DNI","Mono Laser","1255587","","","","436.66","","","","","","",""
"B310/DNI","Mono Laser","1241311","","","","366.65","","271.71","","","","",""
"B315/DNI","Mono Laser","1255588","","","","480.51","","395.54","","","","",""
"B410/DN","Mono Laser","1306608","","","643.83","783.25","","610.69","","","","",""
"B415/DN","Mono Laser","1309133","","","992.14","1,194.51","","858.68","","","","",""
"B620/DN","Mono Laser","1332001","","","801.71","977.69","","823.20","","","","",""
"B625/DN","Mono Laser","1299843","1,843.45","","1,905.37","2,338.15","","1,586.36","","","","",""
"B7125/ENGD2","Mono Laser","1332280","","","","1,589.46","","","","","","2,443.76",""
"B7125/ENGH2","Mono Laser","1332281","2,169.85","","","2,448.16","","","","","","3,316.56",""
"B7125/ENGS2","Mono Laser","1332282","2,028.16","","","2,223.78","","","","","","2,945.97",""
"B7125ENGD2_304S00207","Solutions","1332414","106.37","","","26.32","","","","","","115.91",""
"B7125ENGH2_304S00207","Solutions","1332416","106.37","","","26.32","","","","","","115.91",""
"B7125ENGS2_304S00207","Solutions","1332415","106.37","","","26.32","","","","","","115.91",""
"B7130/ENGD2","Mono Laser","1332283","","","","1,589.46","","","","","","2,443.76",""
"B7130/ENGH2","Mono Laser","1332247","2,169.85","","","2,448.16","","","","","","3,316.56",""
"B7130/ENGS2","Mono Laser","1332284","2,028.16","","","2,223.78","","","","","","2,945.97",""
"B7130ENGD2_304S00205","Solutions","1332411","382.98","","","100.00","","","","","","625.92",""
"B7130ENGH2_304S00205","Solutions","1332413","382.98","","","100.00","","","","","","625.92",""
"B7130ENGS2_304S00205","Solutions","1332412","382.98","","","100.00","","","","","","625.92",""
"B7135/ENGD2","Mono Laser","1332285","","","","1,589.46","","","","","","2,443.76",""
"B7135/ENGH2","Mono Laser","1332286","2,169.85","","","2,448.16","","","","","","3,316.56",""
"B7135/ENGS2","Mono Laser","1332287","2,028.16","","","2,223.78","","","","","","2,945.97",""
"B7135ENGD2_304S00202","Solutions","1332408","659.57","","","460.00","","","","","","1,040.89",""
"B7135ENGH2_304S00202","Solutions","1332410","659.57","","","460.00","","","","","","1,040.89",""
"B7135ENGS2_304S00202","Solutions","1332409","659.57","","","460.00","","","","","","1,040.89",""
"B8245/ENGH2","Mono Laser","1337565","4,972.15","","","4,617.94","4,501.07","","","","","4,942.77",""
"B8255/ENGH2","Mono Laser","1337564","4,972.16","","","4,617.94","4,509.83","","","","","4,996.53",""
"B8270/ENGH2","Mono Laser","1337563","6,127.14","","","4,986.84","4,211.63","","","","","4,754.60",""
"B9100/ENG","Mono Laser","1350791","10,225.87","","","10,175.55","","","","","","","11,168.64"
"B9110/ENG","Mono Laser","1350792","14,211.08","","","10,613.16","","","","","","","14,209.02"
"B9125/ENG","Mono Laser","1350793","14,211.08","","","10,613.16","","","","","","","14,209.02"
"B9136/ENG","Mono Laser","1350794","14,211.08","","","10,613.16","","","","","","","14,209.02"
"B91FIERY","Accessories","1348876","7,465.67","","","6,301.67","","","","","","7,031.85",""
"C230/DNI","Color Laser","1234079","","","","","","320.58","","","","",""
"C235/DNI","Color Laser","1234081","","","","507.43","","339.09","","","","",""
"C320/DNI","Color Laser","1341964","","","","","","472.20","","","","",""
"C325/DNI","Color Laser","1335770","","","","","","552.71","","","","",""
"C410/DN","Color Laser","1306593","","","599.81","698.98","","577.35","","","","",""
"C415/DN","Color Laser","1309134","","","891.35","1,194.51","","978.72","","","","",""
"C620/DN","Color Laser","1328988","","","770.82","961.81","","828.93","","","","",""
"C625/DN","Color Laser","1323010","2,031.95","","2,006.73","2,493.93","","1,971.08","","","","",""
"C7000/DN","Color Laser","978022","","","","1,614.24","","1,455.53","","","","",""
"C7120/ENGD2","Color Laser","1332291","","","","1,938.45","","","","","","2,218.02",""
"C7120/ENGS2","Color Laser","1332292","2,235.95","","","2,306.36","","","","","","2,826.46",""
"C7120/ENGT2","Color Laser","1332293","2,491.30","","","2,431.74","","","","","","3,263.84",""
"C7120ENGD2_304S00211","Solutions","1332421","106.37","","","26.32","","","","","","115.91",""
"C7120ENGS2_304S00211","Solutions","1332420","106.37","","","26.32","","","","","","115.91",""
"C7120ENGT2_304S00211","Solutions","1332422","106.37","","","26.32","","","","","","115.91",""
"C7125/ENGD2","Color Laser","1332294","1,797.39","","","1,938.45","","","","","","2,218.02",""
"C7125/ENGS2","Color Laser","1332295","2,235.95","","","2,306.36","","","","","","2,826.46",""
"C7125/ENGT2","Color Laser","1332296","2,491.30","","","2,431.74","","","","","","3,263.84",""
"C7125ENGD2_304S00212","Solutions","1332424","382.98","","","131.58","","","","","","625.92",""
"C7125ENGS2_304S00212","Solutions","1332423","382.98","","","131.58","","","","","","625.92",""
"C7125ENGT2_304S00212","Solutions","1332425","382.98","","","131.58","","","","","","625.92",""
"C7130/ENGD2","Color Laser","1332297","1,797.39","","","1,938.45","","","","","","2,218.02",""
"C7130/ENGS2","Color Laser","1332298","2,235.95","","","2,306.36","1,701.78","","","","","2,826.46",""
"C7130/ENGT2","Color Laser","1332299","2,491.30","","","2,431.74","","","","","","3,263.84",""
"C7130ENGD2_304S00210","Solutions","1332418","659.57","","","328.42","975.76","","","","","1,073.34",""
"C7130ENGS2_304S00210","Solutions","1332417","659.57","","","328.42","975.76","","","","","1,073.34",""
"C7130ENGT2_304S00210","Solutions","1332419","659.57","","","328.42","975.76","","","","","1,073.34",""
"C8230/ENGH2","Color Laser","1337560","4,880.08","","","4,152.69","","","","","","5,327.79",""
"C8230/ENGT2","Color Laser","1337559","4,766.86","","","4,048.02","3,562.54","","","","","4,774.84",""
"C8230ENGH2_304S00270","Solutions","1337601","43.62","","","26.32","158.05","","","","","158.06",""
"C8230ENGT2_304S00270","Solutions","1337600","43.62","","","26.32","158.05","","","","","158.06",""
"C8235/ENGH2","Color Laser","1337558","4,880.07","","","4,152.69","3,793.01","","","","","5,352.86",""
"C8235/ENGT2","Color Laser","1337557","4,766.87","","","4,048.02","","","","","","5,134.89",""
"C8235ENGH2_304S00271","Solutions","1337609","637.23","","","136.84","289.78","","","","","521.60",""
"C8235ENGT2_304S00271","Solutions","1337608","637.23","","","136.84","289.78","","","","","521.60",""
"C8245/ENGH2","Color Laser","1337556","5,135.80","","","4,371.82","3,803.95","","","","","5,534.05",""
"C8255/ENGH2","Color Laser","1337555","5,295.37","","","4,371.82","3,991.73","","","","","5,534.05",""
"C8270/ENGH2","Color Laser","1337554","6,301.30","","","5,010.33","4,962.12","","","","","6,368.63",""
"C9265/ENG","Color Laser","1342630","","","","","","","","","","","8,377.62"
"C9265/ENG2","Color Laser","1342631","9,223.52","","","8,980.79","","","8,811.06","","","","8,377.62"
"C9275/ENG","Color Laser","1342632","","","","","","","","","","","8,377.62"
"C9275/ENG2","Color Laser","1342633","9,223.52","","","8,980.79","","","8,811.06","","","","8,377.62"
"C9281/ENG","Color Laser","1342634","","","","","","","","","","","8,377.62"
"C9281/ENG2","Color Laser","1342635","9,223.52","","","8,980.79","","","8,811.06","","","","8,377.62"
"CLRPROTRN","Service Plan","1348990","","","","","","","","","","802.85",""
"CPSMEDTRN","Service Plan","1361860","","","","","","","","","","842.99",""
"CS963/E","Color Laser","1364242","4,214.89","","","4,170.53","","","","","","",""
"CX833/SE","Color Laser","1364243","5,206.38","","","","","","","","","",""
"CX950/CSE","Color Laser","1362081","2,635.06","","","2,453.91","","","","","","3,320.97",""
"CX950/SE","Color Laser","1362082","2,196.50","","","2,085.99","","","","","","2,794.19",""
"CX951/SE","Color Laser","1362083","","","","2,704.03","","","","","","3,765.25",""
"CX951/TSE","Color Laser","1362084","3,740.53","","","3,279.25","","","","","","4,467.39",""
"CX952/SE","Color Laser","1365933","4,736.90","","","","","","","","","4,587.80",""
"CX952/XSE","Color Laser","1365934","5,527.72","","","","","","","","","5,429.94",""
"CX953/SE","Color Laser","1365935","5,032.04","","","","","","","","","5,171.31",""
"CX953/XSE","Color Laser","1365936","5,977.99","","","","","","","","","6,013.45",""
"CX961/SE","Color Laser","1362085","","","","","","","","","","4,204.13",""
"CX961/TSE","Color Laser","1362086","5,413.67","","","4,194.34","","","","","","4,906.24",""
"CX962/SE","Color Laser","1362087","","","","","","","","","","4,716.23",""
"CX962/TSE","Color Laser","1362088","5,679.54","","","4,751.95","","","","","","5,418.09",""
"CX963/SE","Color Laser","1362089","","","","","","","","","","5,298.84",""
"CX963/XSE","Color Laser","1362090","6,121.17","","","4,895.17","","","","","3,173.30","6,141.33",""
"DM-A3DEL","Delivery Fee","1332275","","","","","","","","","","480.00",""
"DM-A4DEL","Delivery Fee","1332274","","","","","","","","","","225.00",""
"DM-LP1DEL","Delivery Fee","1342763","","","","","","","","","","","810.00"
"DM-LP2DEL","Delivery Fee","1342764","","","","","","","","","","","940.00"
"DM-LP3DEL","Delivery Fee","1342765","","","","","","","","","","","1,250.00"
"DMPCTLPK","Accessories","1342707","2,546.00","","","2,606.42","","","","","","2,660.11",""
"DM-SPLITDEL","Delivery Fee","1360749","","","","","","","","","","115.00",""
"EC8056/H2","Color Laser","1332305","","","","","","","","","","4,639.96",""
"HCMFPANALYST","Service Plan","1346748","","","","","","","","","","397.64",""
"INTEGEFI","Accessories","1323445","6,011.22","","","","","","","","","",""
"INTFIERYANLYST","Service Plan","1342622","","","","","","","","","","978.93",""
"INTFIERYTRN","Service Plan","1342623","","","","","","","","","","792.41",""
"INTGCLRSVRANLYST","Service Plan","1342624","","","","","","","","","","656.10",""
"INTGCLRSVRTRN","Service Plan","1342625","","","","","","","","","","785.33",""
"INTGFIERY","Accessories","1342651","6,086.57","","","5,784.51","6,297.17","","","","","6,329.96",""
"IPDSSWCS","Service Plan","1351323","","","","","","","","","","1,324.70",""
"IPDSSWTRN","Service Plan","1351324","","","","","","","","","","662.35",""
"MX951/SE","Mono Laser","1365937","1,906.81","","","","","","","","","3,359.72",""
"MX951/XSE","Mono Laser","1365938","2,854.34","","","","","","","","","4,115.76",""
"MX953/SE","Mono Laser","1362091","","","","","","","","","","4,071.22",""
"MX953/XSE","Mono Laser","1362092","5,416.70","","","4,781.88","","","","","","4,913.71",""
"PDSERIESTRN","Service Plan","1348799","","","","","","","","","","993.53",""
"PFIERYANLYST","Service Plan","1348800","","","","","","","","","","1,483.27",""
"PFIERYTRN","Service Plan","1348801","","","","","","","","","","1,235.38",""
"PROFIERSVRTRN","Service Plan","1342626","","","","","","","","","","1,319.28",""
"PROFIERYANALYST","Service Plan","1342627","","","","","","","","","","1,324.55",""
